,energy,torsion_0,torsion_1
848,-46.38610247624055,265,235
849,-46.38652724888121,60,105
850,-46.35348153039317,80,290
851,-46.44234206887117,245,45
852,-46.40881322116306,45,70
853,-46.40762806884405,40,65
854,-46.317154333320474,355,350
855,-46.387318235798176,85,95
856,-46.36729725881477,140,145
857,-46.414839329595935,310,210
858,-46.3902783677224,325,155
859,-46.43649049005964,290,175
860,-46.40650720111827,0,190
861,-46.376451851801875,150,110
862,-46.388909558920915,255,105
863,-46.392705800949415,115,190
864,-46.4132349389952,285,25
865,-46.412340082997474,25,170
866,-46.392201990275765,280,350
867,-46.39533008370765,190,225
868,-46.41575225987074,45,215
869,-46.339233229537825,50,345
870,-46.362719289238754,30,270
871,-46.37787022776868,215,235
872,-46.39246921060621,70,225
873,-46.41747014233542,290,30
874,-46.426409893423426,255,175
875,-46.44744232274425,240,55
876,-46.320001774175495,130,10
877,-46.421199635578574,165,40
878,-46.39188051959346,350,60
879,-46.36935514354437,315,10
880,-46.402110890536136,245,325
881,-46.37601974309129,320,255
882,-46.36913387633902,135,105
883,-46.38743221932478,195,135
884,-46.385980638712994,190,130
885,-46.401038999284395,35,155
886,-46.37188801158376,20,90
887,-46.420350759949,275,210
888,-46.42644866963448,270,80
889,-46.36808279600345,145,220
890,-46.38503344660862,280,135
891,-46.4116434232653,235,165
892,-46.36613396118631,65,250
893,-46.41069072973764,155,175
894,-46.38087621453738,270,245
895,-46.349338864526516,145,295
896,-46.37634910403867,105,150
897,-46.3747820788291,235,125
898,-46.34823612295705,110,225
899,-46.402541133762185,240,320
900,-46.370591933914085,40,125
901,-46.35084237533172,50,10
902,-46.32006466586907,350,350
903,-46.33582572349869,95,280
904,-46.30817753060151,125,0
905,-46.35623909424399,355,145
906,-46.420479612165394,300,80
907,-46.334202389024625,105,295
908,-46.41369044629889,145,65
909,-46.33860043605509,75,5
910,-46.40125262221065,235,10
911,-46.33813254294128,0,320
912,-46.44075368617163,200,35
913,-46.385461585893296,110,80
914,-46.42028524770919,310,45
915,-46.35662412847469,115,135
916,-46.364994587717746,315,345
917,-46.40149240554891,170,25
918,-46.36625704377852,100,110
919,-46.39263739365262,210,145
920,-46.444006192557396,265,55
921,-46.35896954208576,105,125
922,-46.37402143640131,305,355
923,-46.39822318448719,235,155
924,-46.41077185076003,290,25
925,-46.39047658070493,320,30
926,-46.401881011437496,310,220
927,-46.408481119971185,235,210
